epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1962.58,0.32401,1.28103,0.85455,0.99779,1,0.995,0.97891,0.24204,0.98521,0.78364,0.00055164,0.00055164,0.00055164
2,9964.87,0.26471,0.60906,0.82109,0.99889,1,0.995,0.98837,0.19148,0.50641,0.7787,0.0010525,0.0010525,0.0010525
3,12146.1,0.24814,0.462,0.81519,0.96244,0.98934,0.98658,0.97716,0.19761,0.41943,0.78827,0.00149834,0.00149834,0.00149834
4,13437.2,0.22809,0.368,0.81206,0.98846,0.99839,0.995,0.99192,0.16923,0.31148,0.77589,0.00141945,0.00141945,0.00141945
5,15236.9,0.19817,0.30937,0.80646,0.99972,1,0.995,0.99092,0.14304,0.20684,0.77472,0.00133693,0.00133693,0.00133693
6,17712.2,0.18782,0.26887,0.80816,0.99883,0.9995,0.995,0.99321,0.13699,0.19945,0.76755,0.00125442,0.00125442,0.00125442
7,19503.3,0.171,0.24405,0.80877,0.99982,1,0.995,0.99204,0.12219,0.15605,0.76874,0.0011719,0.0011719,0.0011719
8,20789.8,0.15196,0.21889,0.80756,0.99784,0.99695,0.99391,0.99103,0.11938,0.17054,0.76696,0.00108938,0.00108938,0.00108938
9,22618.3,0.14818,0.20599,0.79839,0.99982,1,0.995,0.99351,0.11275,0.15098,0.76335,0.00100687,0.00100687,0.00100687
10,25641.2,0.13978,0.1912,0.80009,0.99975,1,0.995,0.99395,0.11333,0.12832,0.76682,0.000924352,0.000924352,0.000924352
11,27288.2,0.12254,0.17084,0.76894,0.98636,0.98039,0.98246,0.97879,0.12088,0.20395,0.7699,0.000841835,0.000841835,0.000841835
12,29926.1,0.11954,0.15987,0.76891,0.99981,1,0.995,0.99376,0.1063,0.12046,0.76457,0.000759318,0.000759318,0.000759318
13,55082,0.11805,0.15506,0.7715,0.99975,1,0.995,0.99351,0.10548,0.12118,0.76297,0.000676802,0.000676802,0.000676802
14,56393.2,0.10932,0.14162,0.76315,0.99974,1,0.995,0.99199,0.09696,0.11983,0.76115,0.000594286,0.000594286,0.000594286
15,58169.7,0.09879,0.12805,0.75823,0.99977,1,0.995,0.99375,0.09072,0.10142,0.76601,0.000511769,0.000511769,0.000511769
16,60432.3,0.08639,0.11783,0.76264,0.9998,1,0.995,0.99381,0.07785,0.09759,0.7639,0.000429253,0.000429253,0.000429253
17,61667,0.08254,0.11099,0.76666,0.9998,1,0.995,0.99333,0.07834,0.09088,0.76515,0.000346736,0.000346736,0.000346736
18,63035,0.07563,0.09759,0.76427,0.99982,1,0.995,0.99366,0.06389,0.07818,0.76405,0.00026422,0.00026422,0.00026422
19,65124.8,0.06415,0.08393,0.7629,0.9998,1,0.995,0.99377,0.06001,0.06762,0.76637,0.000181703,0.000181703,0.000181703
20,80088.1,0.05641,0.07519,0.76697,0.9998,1,0.995,0.99408,0.05332,0.06315,0.7652,9.91865e-05,9.91865e-05,9.91865e-05
